,Title,Describe,Price,Year,Distance
29,Mercedes-Benz GLC GLC300 2020款 2.0L,【滿吉國際】GLC300 AMG 4Matic & 全景 & 環景 & 柏林 &,228.8,2020,2.3萬km
30,Toyota Sienna 2021款 2.5L,"【滿吉國際】LE 6/30到店,車測中,菁英版 八人座",195.8,2021,152km
31,BMW 5-Series GT 520d 2015款 2.0L,一手自售 F07 5GT 520D GT 總代理,95.0,2014,14.9萬km
32,Toyota Alphard 2011款 3.5L,,68,2011,11.0萬km
33,BMW 3-Series Sedan M340i XDrive 2020款 3.0L,坦桑尼亞藍寶石/原廠認證車/50萬豪華選配/可享新車保固/設有全能保修廠,電洽,2019,8000km
34,BMW 3-Series Sedan 330i M Sport 2019款 2.0L,【滿吉國際】330i M-Sport x 雷射頭燈 x 環景影像 x H/K音響,185.8,2019,4.3萬km
35,Mercedes-Benz E-Class Sedan AMG E43 2018款 3.0L,【滿吉國際】AMG E43 & P20 & P3套件 & 多光束 & 柏林之音,278.8,2018,4.9萬km
36,Mercedes-Benz GLC GLC300 2021款 2.0L,【滿吉國際】SUV 4Matic x LED x 全景天窗 x Carplay,232.8,2021,1km
37,BMW M4 Coupe 2017款 3.0L,【滿吉國際】Competition競技版 x 左3右6 x 陶瓷煞車 x H/K,288.8,2017,5.6萬km
38,BMW X4 XDrive30i M Sport 2021款 2.0L,BMW X4 Msport 5AU 全新車 21年 弘達國際 #16260,268,2020,100km
39,Toyota Sienna 2021款 2.5L,"【滿吉國際】XSE 6/30到店,車測中,運動版 七人座",228.8,2021,128km
40,BMW 3-Series Sedan 330i 2019款 2.0L,【滿吉國際】G20 330i Sport Line & 5AS & 免鑰匙,168.8,2019,2.3萬km
41,Toyota Sienna 2021款 2.5L,"【滿吉國際】LTD 7/10到店,車測中,限量版七人座",253.8,2021,171km
42,Toyota Yaris 2016款 1.5L,超貸找現金/小車大空間/省油省稅金/保值車款,29,2016,8.0萬km
43,BMW 5-Series Sedan 540i M Sport 2017款 3.0L,BMW 540i Msport 5AT 菱格紋 17年 弘達國際 #478542,198,2017,4.7萬km
44,Mercedes-Benz A-Class A250 2019款 2.0L,賓士 A250 可全額貸款,158,2018,2.0萬km
45,Mercedes-Benz GLC GLC300 2020款 2.0L,【滿吉國際】GLC300 AMG & 全景天窗 & 低里程 & 夜色套件,228.8,2020,5230km
46,Toyota Corolla Altis 2020款 1.8L,【主打百分之百過件全額貸款】ＦＢ搜尋 ：宇安嚴選中古車,58.8,2020,5000km
47,Mercedes-Benz C-Class Estate C200 2010款 1.8L,"全原廠保養,無漏油無異音",59.8,2009,12.0萬km
48,Porsche Panamera4 Sport Turismo 2020款 3.0L,【滿吉國際】20年式 Panamera 4 Sport Turismo總代理,電洽,2019,8000km
49,Mercedes-Benz E-Class Sedan E250 2019款 2.0L,自售 頂級 E250 Exclusive 一手 原漆 保固中,192.8,2018,3.2萬km
50,Porsche Macan 2018款 2.0L,【冠全汽車-旗艦店】現車超過10台供挑選，還有10台陸續到港 #242,電洽,2018,5.2萬km
51,Toyota Sienna 2021款 2.5L,"【滿吉國際】LTD 7/10到店,車測中,限量版七人座",258.8,2021,133km
52,Toyota Yaris 2008款 1.5L,✔️一手車✔️雙證件核貸✔️免頭款全額貸✔️低利率✔️實車實價,15.8,2008,10.0萬km
53,Ford Focus 2017款 1.5L,『主打呼吸專案 百分之百強力過件』、『軍公教2.88%起』,39.8,2017,4.5萬km
54,Toyota Sienna 2021款 2.5L,【滿吉國際】LE 菁英版 八人座 & 7/10到店 & 自動跟車系統 & 盲點,195.8,2021,154km
55,BMW X3 XDrive30i豪華運動版 2018款 2.0L,X3 30I BMW 豪華運動版 總代理 正2018年出廠,電洽,2018,2.5萬km
56,Mercedes-Benz GLE GLE450 2019款 3.0L,【冠全汽車-旗艦店】AMG/柏林之音/360環景/多光束頭燈 #288,電洽,2019,2.0萬km
57,BMW 6-Series GT 640i M Sport 2018款 3.0L,BMW 640GT M運動版 液晶儀表 全景 18年 弘達國際 #674554,228,2018,5.1萬km
58,Honda Fit 2018款 1.5L,全車系全額貸款貸款利率優惠中/月付超低/信用小白/瑕疵強力過件,43,2018,2.0萬km
59,Subaru Legacy Wagon 2013款 2.5L,自售車！車況極佳，保證無撞無泡，一手車，停車庫，定期保養做美容,62.8,2013,9.8萬km
60,Mercedes-Benz C-Class Sedan C300 2017款 2.0L,豐駿汽車2017享最高配備 C300 23P跟車主動剎車 新車利率 #3793,144,2016,4.0萬km
61,Maserati Quattroporte 2017款 3.0L,駿岳-小魏 總代理 一手車 快樂波特SQ4 選配H/K音響 方向盤 原木飾板,268,2016,5.0萬km
62,BMW M5 Sedan 2018款 4.4L,BMW M5 F90 消光銀 全車犀牛皮貼膜 18年 弘達國際 #83374,398,2018,2.2萬km
63,Mercedes-Benz E-Class Sedan E300 2018款 2.0L,未領牌/AMG/P20進階駕駛/多光束頭燈/抬頭顯示器/四輪傳動/新車保固,電洽,2017,4.0萬km
64,Volkswagen Golf GTI 2017款 2.0L,限量款白色Clubsport 精品改裝 蠍子管 Eventuri進氣系統 里程低,128.8,2016,2.2萬km
65,Volkswagen Golf GTI 2018款 2.0L,GTI 7.5代 原廠保固中 全新VVS閥門排氣管 里程保證 可全額貸款,95.8,2017,5.3萬km
66,Honda Civic 2012款 1.8L,RR空力套件 里程保證 0元頭期款 可全額貸款 超額貸款 信用空白瑕疵皆可,26.5,2011,11.3萬km
67,Hyundai Elantra 2013款 1.8L,旗艦款 可0元頭期款 可全額貸款 信用空白瑕疵皆可辦理,24.8,2012,11.7萬km
68,Volkswagen Golf 2012款 1.6L,全新R前保桿&GTI頭燈&R20LED尾燈&全新後流水方向燈 可0元頭期全額貸款,23.5,2011,10.6萬km
69,Suzuki Swift 2019款 1.1L以下,【主打全額貸】 0元把車帶回家 ＦＢ搜尋 宇安嚴選中古車,38.8,2019,1.0萬km
70,Porsche Macan 2018款 2.0L,未領牌/全景/真皮內裝/通風記憶座椅/BOSE音響/新車保固/全省售服據點,電洽,2018,4.0萬km
71,BMW 3-Series Sedan 330i 2019款 2.0L,BMW 330i M3樣式 前後雷達 天窗 19年 弘達國際 #78984,170,2019,3.4萬km
72,BMW M6 Gran Coupe 2013款 4.4L,BMW M6 GranCoupe 13年 弘達國際 #73342,電洽,2013,7.6萬km
73,Mercedes-Benz C-Class Sedan AMG C300 2016款 2.0L,Sam國際車庫 柏林之音 夜色套件 冷熱通風 全景 designo內裝,電洽,2016,5.1萬km
74,Mercedes-Benz GLS GLS 450 2018款 3.0L,AMG性能版/23P駕駛輔助/經銷商認證車/新車保固/全台售服據點支援,電洽,2017,3.0萬km
75,Porsche 718 Boxster 2017款 2.0L,Porsche 718Boxster 前後雷達 17年弘達國際 #21933,258,2017,6.2萬km
76,BMW 4-Series Coupe 440i M Sport 2021款 3.0L,頂配規格獨家代理/實車在店展售/可享五年新車保固/自營精工保修廠,電洽,2020,100km
77,Toyota Corolla Altis 2020款 1.8L,『主打呼吸專案 百分之百強力過件』、『軍公教2.88%起』,48.8,2020,1.7萬km
78,Toyota Corolla Altis 2010款 1.8L,跑6萬而已!省油好開0故障冠軍房車~豐田ALTIS1800cc~ 高雄麻吉課長,25.5,2009,6.0萬km
79,BMW 5-Series Sedan 530i M Sport 2017款 2.0L,2017 正M版 360度環景/動態按摩椅/抬顯/5AS,166,2017,3.6萬km
80,BMW 5-Series Sedan 530i M Sport 2017款 2.0L,2017 正M版 360度環景/動態按摩椅/抬顯/5AS,166,2017,3.6萬km
81,Mercedes-Benz GLC GLC300 2018款 2.0L,19吋AMG鋼圈，AMG夜色套件，LED頭燈，環景倒車影像，電尾門，停車輔助雷達,電洽,2018,4.5萬km
82,BMW 4-Series Coupe 440i M Sport 2021款 3.0L,稀有猛獸/全新車/四輪傳動/新車保固/全能服務廠/全台保修據點,電洽,2020,100km
83,Mercedes-Benz C-Class Sedan AMG C300 2017款 2.0L,Sam國際車庫 AMG 23P 自動停車 前後雷達 全景 盲點 摸門 免鑰,157,2017,5.3萬km
84,BMW 3-Series Sedan M340i XDrive 2020款 3.0L,BMW M340i 5AU滿配 雷射頭燈 20年 弘達國際 #83376,278,2019,7000km
85,Mercedes-Benz GLC GLC300 2018款 2.0L,Sam國際車庫 四輪傳動 23P LED頭燈 全景天窗 自動停車 360度環景,178,2017,2.5萬km
86,Mercedes-Benz GLC Coupe GLC300 2021款 2.0L,全新車/23P/AMG頂配規格/實車在店/五年新車保固/全省售服據點,電洽,2021,100km
87,Mercedes-Benz GLC GLC300 2017款 2.0L,BENZ GLC300 AMG 23P 雙魚眼 17年 弘達國際#005014,175,2017,7.9萬km
88,Nissan Juke 2016款 1.6L,全車系全額貸款貸款利率優惠中/月付超低/信用小白/瑕疵強力過件,42,2016,8.0萬km
89,Luxgen U6 Turbo ECO Hyper 2018款 1.8L,超狂價差40萬起跳★★免頭款★免保人【FB搜尋:圓夢中古車s小謝嚴選-認證車】,24.8,2017,4.0萬km
90,Mercedes-Benz C-Class Sedan C200 2012款 1.8L,中華賓士總代理 C200 一手車 僅跑54494公里,66.8,2011,5.4萬km
91,Mercedes-Benz S-Class Sedan S400 Hybrid 2010款 3.5L,正10 年 總代理 全台最低價38萬(0頭款全額貸)銀行可貸70萬,38.8,2010,18.0萬km
92,Mercedes-Benz E-Class Sedan E200 2013款 2.0L,總代理 NEW E200 (全台最低價96萬) 0頭款銀行可貸130萬,96,2013,11.0萬km
93,Mercedes-Benz S-Class Sedan S350 2010款 3.5L,正10 S350L 總代理 全台最低特價53萬(0頭款全額貸)銀行可貸85萬,53.8,2009,18.0萬km
94,Subaru XV 2020款 2.0L,自售SUBARU XV 2020出廠 頂級2.0i-S ES 手自排,88,2020,3.0萬km
95,Porsche Macan S 2017款 3.0L,Porsche Macan s 2017款 3.0L,195,2016,4.5萬km
96,Mercedes-Benz GLA GLA200 2015款 1.6L,中華賓士總代理 GLA200 僅跑75366公里,98,2014,7.5萬km
97,Porsche 718 Cayman 2020款 2.0L,永業總代理 718 CAYMAN 邁阿密藍，19吋，跑計，跑排，Car Play,電洽,2020,3700km
98,Mercedes-Benz A-Class AMG A45 4MATIC 2016款 2.0L,正16 稀有選配 全台唯一 全台最低價153萬(0頭款全額貸)可貸190萬,153,2016,8.5萬km
99,Mini Countryman S 2018款 2.0L,MINI F60 Countryman S 全景 雷達 電尾門 免鑰匙 車新跑少,電洽,2018,4.0萬km
100,Mercedes-Benz GLE Coupe AMG GLE43 2017款 3.0L,GLE43 AMG 23P跟車 後座影音 智慧駕駛套件 HK音響 P3 CPO認,電洽,2017,4.0萬km
101,Mercedes-Benz C-Class Sedan C300 2019款 2.0L,C300 AMG 23P跟車 環景 全景 自動停車 液晶螢幕 多光束頭燈 抬顯,電洽,2019,5000km
102,Mercedes-Benz C-Class Sedan AMG C63 S 2018款 4.0L,●龍德國際● BENZ AMG C63s 加規未領牌 百大好店 ~,338,2018,2.8萬km
103,BMW 1-Series Hatchback 116i 2014款 1.6L,"自售非常新很乾淨的車,無任何事故問題",63.8,2014,12.0萬km
104,Porsche Cayenne Turbo 2010款 4.8L,,108,2010,10.1萬km
105,BMW M5 Sedan 2012款 4.4L,自售 西裝暴徒 BMW M5  無事故 無待修 可換同級車  Ghibli,電洽,2011,9.0萬km
106,Mercedes-Benz GLC GLC300 2017款 2.0L,GLC300升級 20款GLC43樣式 360環景 駐車雷達 原廠認證 大螢幕,176,2017,5.6萬km
107,Mercedes-Benz GLC GLC300 2017款 2.0L,BENZ GLC300 AMG 全景 盲點 免鑰 17年 弘達國際#246321,152,2017,8.0萬km
108,BMW X7 XDrive40i 2019款 3.0L,宏霖 2019 BMW X7 40i xDriver 5AU~總代理~,電洽,2019,9000km
109,BMW 5-Series Touring 530i M Sport 2018款 2.0L,自售 2018 總代理 BMW G31 530i M Sport 全景 自動跟車,電洽,2017,6.0萬km
110,Mercedes-Benz C-Class Coupe C250 2012款 1.8L,雙門跑車 AMG精品改裝 全台最低價63萬出售(銀行可貸90萬),63.8,2012,18.0萬km
111,Mercedes-Benz B-Class B180 2016款 1.6L,車主自售使用良好,80,2016,6.0萬km
112,Mercedes-Benz A-Class A200 2015款 1.6L,汽油 僅跑3萬多 大螢幕 可全額貸款【八德-德國萊因認證車】,86.8,2014,3.3萬km
113,BMW M4 Coupe 2015款 3.0L,全車精品改裝M4,250,2014,5.0萬km
114,Audi Q2 2018款 1.4L,女用業務自售車,118,2018,9.0萬km
115,BMW X1 SDrive18i 2012款 2.0L,白色車庫 2012年式總代理BMW X1 S18i 平價入手豪華進口車享受,52,2011,12.1萬km
116,Suzuki Vitara 2019款 1.4L,2019年 Vitara 1.4 頂級版,69.8,2019,1.0萬km
117,BMW 5-Series Sedan 530i 2017款 2.0L,[大洋汽車]總代理BMW530I M版白色2017年車美狀況極佳,電洽,2017,3.1萬km
118,Jaguar F-Type 2017款 3.0L,"稀有!汽油版末代捷豹跑車,車身有貼膜消光黑可以幫忙處理",電洽,2017,1.3萬km
119,Porsche Macan 2019款 2.0L,Porsche MACAN 動態頭燈 14向選配輪框 19年弘達國際#07704,263,2019,1.9萬km
